Month,Price,Change
Aug-21,3.44,7.01%
Sep-21,4.35,26.34%
Oct-21,4.72,8.65%
Nov-21,4.39,-7.00%
Dec-21,3.3,-24.84%
Jan-22,3.83,15.97%
Feb-22,4.11,7.32%
Mar-22,4.43,7.79%
Apr-22,6.04,36.27%
May-22,7.7,27.61%
Jun-22,7.26,-5.76%
Jul-22,7.14,-1.60%
Aug-22,8.68,21.52%
Sep-22,7.84,-9.70%
Oct-22,5.72,-27.07%
Nov-22,5.19,-9.25%
Dec-22,5.2,0.25%
Jan-23,3.04,-41.62%
Feb-23,2.22,-26.85%
Mar-23,2.15,-3.26%
Apr-23,1.97,-8.34%
May-23,1.98,0.40%
Jun-23,2.01,1.76%
Jul-23,2.3,14.45%
Aug-23,2.37,2.71%
Sep-23,2.47,4.54%
Oct-23,2.83,14.48%
Nov-23,2.51,-11.36%
Dec-23,2.33,-7.22%
Jan-24,2.92,25.31%
Feb-24,1.59,-45.37%
