Month,Price,Change
Aug-21,187.74,9.58%
Sep-21,188,0.14%
Oct-21,190.47,1.32%
Nov-21,193.38,1.53%
Dec-21,195.61,1.15%
Jan-22,694.67,255.12%
Feb-22,698.22,0.51%
Mar-22,887.14,27.06%
Apr-22,"1,110.94",25.23%
May-22,"1,107.03",-0.35%
Jun-22,"1,042.77",-5.80%
Jul-22,996.63,-4.42%
Aug-22,877.6,-11.94%
Sep-22,738.36,-15.87%
Oct-22,633.19,-14.24%
Nov-22,553.31,-12.62%
Dec-22,485.8,-12.20%
Jan-23,472.38,-2.76%
Feb-23,463.68,-1.84%
Mar-23,423.18,-8.73%
Apr-23,371.55,-12.20%
May-23,342.57,-7.80%
Jun-23,302.72,-11.63%
Jul-23,308.16,1.80%
Aug-23,323.72,5.05%
Sep-23,329.67,1.84%
Oct-23,323.63,-1.83%
Nov-23,307.23,-5.07%
Dec-23,286.92,-6.61%
Jan-24,271.71,-5.30%
Feb-24,268.06,-1.35%
