"STATISTIC Label","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980 March","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 April","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","128"
"Fertiliser Price","1980 April","Urea (46% N)","Euro per Tonne","163"
"Fertiliser Price","1980 April","Granular Superphosphate (16% P)","Euro per Tonne","168"
"Fertiliser Price","1980 April","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980 April","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980 April","Compound 0-7-30","Euro per Tonne","130"
"Fertiliser Price","1980 April","Compound 7-6-17","Euro per Tonne","159"
"Fertiliser Price","1980 April","Compound 10-10-20","Euro per Tonne","170"
"Fertiliser Price","1980 April","Compound 14-7-14","Euro per Tonne","162"
"Fertiliser Price","1980 April","Compound 18-6-12","Euro per Tonne","163"
"Fertiliser Price","1980 April","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980 April","Compound 27-2.5-5","Euro per Tonne","162"
"Fertiliser Price","1980 April","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 April","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 April","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 April","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 May","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","129"
"Fertiliser Price","1980 May","Urea (46% N)","Euro per Tonne","164"
"Fertiliser Price","1980 May","Granular Superphosphate (16% P)","Euro per Tonne","170"
"Fertiliser Price","1980 May","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980 May","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980 May","Compound 0-7-30","Euro per Tonne","131"
"Fertiliser Price","1980 May","Compound 7-6-17","Euro per Tonne","174"
"Fertiliser Price","1980 May","Compound 10-10-20","Euro per Tonne","171"
"Fertiliser Price","1980 May","Compound 14-7-14","Euro per Tonne","161"
"Fertiliser Price","1980 May","Compound 18-6-12","Euro per Tonne","164"
"Fertiliser Price","1980 May","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980 May","Compound 27-2.5-5","Euro per Tonne","163"
"Fertiliser Price","1980 May","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 May","Sulphate of Ammonia (21%)","Euro per Tonne",""
