"STATISTIC Label","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1987 February","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 February","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 February","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 February","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 March","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","120"
"Fertiliser Price","1987 March","Urea (46% N)","Euro per Tonne","138"
"Fertiliser Price","1987 March","Granular Superphosphate (16% P)","Euro per Tonne","218"
"Fertiliser Price","1987 March","Muriate of Potash (50% K)","Euro per Tonne","162"
"Fertiliser Price","1987 March","Compound 0-10-20","Euro per Tonne","147"
"Fertiliser Price","1987 March","Compound 0-7-30","Euro per Tonne","144"
"Fertiliser Price","1987 March","Compound 7-6-17","Euro per Tonne","207"
"Fertiliser Price","1987 March","Compound 10-10-20","Euro per Tonne","179"
"Fertiliser Price","1987 March","Compound 14-7-14","Euro per Tonne","167"
"Fertiliser Price","1987 March","Compound 18-6-12","Euro per Tonne","166"
"Fertiliser Price","1987 March","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1987 March","Compound 27-2.5-5","Euro per Tonne","165"
"Fertiliser Price","1987 March","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 March","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 March","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 March","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 April","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","122"
"Fertiliser Price","1987 April","Urea (46% N)","Euro per Tonne","141"
"Fertiliser Price","1987 April","Granular Superphosphate (16% P)","Euro per Tonne","216"
"Fertiliser Price","1987 April","Muriate of Potash (50% K)","Euro per Tonne","162"
"Fertiliser Price","1987 April","Compound 0-10-20","Euro per Tonne","148"
"Fertiliser Price","1987 April","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1987 April","Compound 7-6-17","Euro per Tonne","207"
"Fertiliser Price","1987 April","Compound 10-10-20","Euro per Tonne","180"
"Fertiliser Price","1987 April","Compound 14-7-14","Euro per Tonne","168"
"Fertiliser Price","1987 April","Compound 18-6-12","Euro per Tonne","167"
"Fertiliser Price","1987 April","Compound 24-2.5-10","Euro per Tonne","168"
"Fertiliser Price","1987 April","Compound 27-2.5-5","Euro per Tonne","164"
"Fertiliser Price","1987 April","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 April","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 April","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 April","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 May","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1987 May","Urea (46% N)","Euro per Tonne","143"
"Fertiliser Price","1987 May","Granular Superphosphate (16% P)","Euro per Tonne","215"
"Fertiliser Price","1987 May","Muriate of Potash (50% K)","Euro per Tonne","161"
"Fertiliser Price","1987 May","Compound 0-10-20","Euro per Tonne","148"
"Fertiliser Price","1987 May","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1987 May","Compound 7-6-17","Euro per Tonne","206"
"Fertiliser Price","1987 May","Compound 10-10-20","Euro per Tonne","180"
"Fertiliser Price","1987 May","Compound 14-7-14","Euro per Tonne","167"
"Fertiliser Price","1987 May","Compound 18-6-12","Euro per Tonne","167"
"Fertiliser Price","1987 May","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1987 May","Compound 27-2.5-5","Euro per Tonne","164"
"Fertiliser Price","1987 May","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 May","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 May","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 May","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 June","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","125"
"Fertiliser Price","1987 June","Urea (46% N)","Euro per Tonne","143"
"Fertiliser Price","1987 June","Granular Superphosphate (16% P)","Euro per Tonne","215"
"Fertiliser Price","1987 June","Muriate of Potash (50% K)","Euro per Tonne","160"
"Fertiliser Price","1987 June","Compound 0-10-20","Euro per Tonne","148"
"Fertiliser Price","1987 June","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1987 June","Compound 7-6-17","Euro per Tonne","205"
"Fertiliser Price","1987 June","Compound 10-10-20","Euro per Tonne","180"
"Fertiliser Price","1987 June","Compound 14-7-14","Euro per Tonne","167"
"Fertiliser Price","1987 June","Compound 18-6-12","Euro per Tonne","167"
"Fertiliser Price","1987 June","Compound 24-2.5-10","Euro per Tonne","166"
"Fertiliser Price","1987 June","Compound 27-2.5-5","Euro per Tonne","162"
"Fertiliser Price","1987 June","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 June","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 June","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 June","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 July","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","125"
"Fertiliser Price","1987 July","Urea (46% N)","Euro per Tonne","143"
"Fertiliser Price","1987 July","Granular Superphosphate (16% P)","Euro per Tonne","217"
"Fertiliser Price","1987 July","Muriate of Potash (50% K)","Euro per Tonne","160"
"Fertiliser Price","1987 July","Compound 0-10-20","Euro per Tonne","148"
"Fertiliser Price","1987 July","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1987 July","Compound 7-6-17","Euro per Tonne","206"
"Fertiliser Price","1987 July","Compound 10-10-20","Euro per Tonne","179"
"Fertiliser Price","1987 July","Compound 14-7-14","Euro per Tonne","167"
"Fertiliser Price","1987 July","Compound 18-6-12","Euro per Tonne","166"
"Fertiliser Price","1987 July","Compound 24-2.5-10","Euro per Tonne","163"
"Fertiliser Price","1987 July","Compound 27-2.5-5","Euro per Tonne","160"
"Fertiliser Price","1987 July","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 July","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 July","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 July","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 August","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","126"
"Fertiliser Price","1987 August","Urea (46% N)","Euro per Tonne","145"
"Fertiliser Price","1987 August","Granular Superphosphate (16% P)","Euro per Tonne","216"
"Fertiliser Price","1987 August","Muriate of Potash (50% K)","Euro per Tonne","159"
"Fertiliser Price","1987 August","Compound 0-10-20","Euro per Tonne","150"
"Fertiliser Price","1987 August","Compound 0-7-30","Euro per Tonne","147"
"Fertiliser Price","1987 August","Compound 7-6-17","Euro per Tonne","205"
"Fertiliser Price","1987 August","Compound 10-10-20","Euro per Tonne","180"
"Fertiliser Price","1987 August","Compound 14-7-14","Euro per Tonne","168"
"Fertiliser Price","1987 August","Compound 18-6-12","Euro per Tonne","167"
"Fertiliser Price","1987 August","Compound 24-2.5-10","Euro per Tonne","163"
"Fertiliser Price","1987 August","Compound 27-2.5-5","Euro per Tonne","160"
"Fertiliser Price","1987 August","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 August","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 August","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 August","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 September","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","128"
"Fertiliser Price","1987 September","Urea (46% N)","Euro per Tonne","144"
"Fertiliser Price","1987 September","Granular Superphosphate (16% P)","Euro per Tonne","220"
"Fertiliser Price","1987 September","Muriate of Potash (50% K)","Euro per Tonne","161"
"Fertiliser Price","1987 September","Compound 0-10-20","Euro per Tonne","155"
"Fertiliser Price","1987 September","Compound 0-7-30","Euro per Tonne","152"
"Fertiliser Price","1987 September","Compound 7-6-17","Euro per Tonne","208"
"Fertiliser Price","1987 September","Compound 10-10-20","Euro per Tonne","187"
"Fertiliser Price","1987 September","Compound 14-7-14","Euro per Tonne","174"
"Fertiliser Price","1987 September","Compound 18-6-12","Euro per Tonne","173"
"Fertiliser Price","1987 September","Compound 24-2.5-10","Euro per Tonne","166"
"Fertiliser Price","1987 September","Compound 27-2.5-5","Euro per Tonne","163"
"Fertiliser Price","1987 September","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 September","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 September","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 September","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 October","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","129"
"Fertiliser Price","1987 October","Urea (46% N)","Euro per Tonne","146"
"Fertiliser Price","1987 October","Granular Superphosphate (16% P)","Euro per Tonne","224"
"Fertiliser Price","1987 October","Muriate of Potash (50% K)","Euro per Tonne","162"
"Fertiliser Price","1987 October","Compound 0-10-20","Euro per Tonne","158"
"Fertiliser Price","1987 October","Compound 0-7-30","Euro per Tonne","155"
"Fertiliser Price","1987 October","Compound 7-6-17","Euro per Tonne","207"
"Fertiliser Price","1987 October","Compound 10-10-20","Euro per Tonne","191"
"Fertiliser Price","1987 October","Compound 14-7-14","Euro per Tonne","174"
"Fertiliser Price","1987 October","Compound 18-6-12","Euro per Tonne","176"
"Fertiliser Price","1987 October","Compound 24-2.5-10","Euro per Tonne","166"
"Fertiliser Price","1987 October","Compound 27-2.5-5","Euro per Tonne","164"
"Fertiliser Price","1987 October","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 October","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 October","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 October","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 November","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","134"
"Fertiliser Price","1987 November","Urea (46% N)","Euro per Tonne","160"
"Fertiliser Price","1987 November","Granular Superphosphate (16% P)","Euro per Tonne","226"
"Fertiliser Price","1987 November","Muriate of Potash (50% K)","Euro per Tonne","165"
"Fertiliser Price","1987 November","Compound 0-10-20","Euro per Tonne","160"
"Fertiliser Price","1987 November","Compound 0-7-30","Euro per Tonne","157"
"Fertiliser Price","1987 November","Compound 7-6-17","Euro per Tonne","211"
"Fertiliser Price","1987 November","Compound 10-10-20","Euro per Tonne","193"
"Fertiliser Price","1987 November","Compound 14-7-14","Euro per Tonne","182"
"Fertiliser Price","1987 November","Compound 18-6-12","Euro per Tonne","181"
"Fertiliser Price","1987 November","Compound 24-2.5-10","Euro per Tonne","172"
"Fertiliser Price","1987 November","Compound 27-2.5-5","Euro per Tonne","169"
"Fertiliser Price","1987 November","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 November","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 November","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 November","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1987 December","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","135"
"Fertiliser Price","1987 December","Urea (46% N)","Euro per Tonne","158"
"Fertiliser Price","1987 December","Granular Superphosphate (16% P)","Euro per Tonne","226"
"Fertiliser Price","1987 December","Muriate of Potash (50% K)","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 0-10-20","Euro per Tonne","160"
"Fertiliser Price","1987 December","Compound 0-7-30","Euro per Tonne","157"
"Fertiliser Price","1987 December","Compound 7-6-17","Euro per Tonne","209"
"Fertiliser Price","1987 December","Compound 10-10-20","Euro per Tonne","196"
"Fertiliser Price","1987 December","Compound 14-7-14","Euro per Tonne","183"
"Fertiliser Price","1987 December","Compound 18-6-12","Euro per Tonne","185"
"Fertiliser Price","1987 December","Compound 24-2.5-10","Euro per Tonne","171"
"Fertiliser Price","1987 December","Compound 27-2.5-5","Euro per Tonne","169"
"Fertiliser Price","1987 December","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1987 December","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1987 December","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1987 December","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1988 January","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","136"
"Fertiliser Price","1988 January","Urea (46% N)","Euro per Tonne","165"
"Fertiliser Price","1988 January","Granular Superphosphate (16% P)","Euro per Tonne","228"
"Fertiliser Price","1988 January","Muriate of Potash (50% K)","Euro per Tonne","169"
"Fertiliser Price","1988 January","Compound 0-10-20","Euro per Tonne","161"
"Fertiliser Price","1988 January","Compound 0-7-30","Euro per Tonne","158"
"Fertiliser Price","1988 January","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 10-10-20","Euro per Tonne","197"
"Fertiliser Price","1988 January","Compound 14-7-14","Euro per Tonne","189"
"Fertiliser Price","1988 January","Compound 18-6-12","Euro per Tonne","185"
"Fertiliser Price","1988 January","Compound 24-2.5-10","Euro per Tonne","176"
"Fertiliser Price","1988 January","Compound 27-2.5-5","Euro per Tonne","174"
"Fertiliser Price","1988 January","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1988 January","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1988 January","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1988 January","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1988 February","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","136"
"Fertiliser Price","1988 February","Urea (46% N)","Euro per Tonne","162"
"Fertiliser Price","1988 February","Granular Superphosphate (16% P)","Euro per Tonne","231"
"Fertiliser Price","1988 February","Muriate of Potash (50% K)","Euro per Tonne","171"
"Fertiliser Price","1988 February","Compound 0-10-20","Euro per Tonne","161"
"Fertiliser Price","1988 February","Compound 0-7-30","Euro per Tonne","158"
"Fertiliser Price","1988 February","Compound 7-6-17","Euro per Tonne","226"
"Fertiliser Price","1988 February","Compound 10-10-20","Euro per Tonne","196"
"Fertiliser Price","1988 February","Compound 14-7-14","Euro per Tonne","189"
"Fertiliser Price","1988 February","Compound 18-6-12","Euro per Tonne","183"
"Fertiliser Price","1988 February","Compound 24-2.5-10","Euro per Tonne","176"
"Fertiliser Price","1988 February","Compound 27-2.5-5","Euro per Tonne","173"
"Fertiliser Price","1988 February","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1988 February","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1988 February","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1988 February","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1988 March","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","136"
"Fertiliser Price","1988 March","Urea (46% N)","Euro per Tonne","165"
"Fertiliser Price","1988 March","Granular Superphosphate (16% P)","Euro per Tonne","232"
"Fertiliser Price","1988 March","Muriate of Potash (50% K)","Euro per Tonne","172"
"Fertiliser Price","1988 March","Compound 0-10-20","Euro per Tonne","160"
"Fertiliser Price","1988 March","Compound 0-7-30","Euro per Tonne","157"
"Fertiliser Price","1988 March","Compound 7-6-17","Euro per Tonne","222"
"Fertiliser Price","1988 March","Compound 10-10-20","Euro per Tonne","195"
"Fertiliser Price","1988 March","Compound 14-7-14","Euro per Tonne","185"
"Fertiliser Price","1988 March","Compound 18-6-12","Euro per Tonne","182"
"Fertiliser Price","1988 March","Compound 24-2.5-10","Euro per Tonne","176"
"Fertiliser Price","1988 March","Compound 27-2.5-5","Euro per Tonne","173"
"Fertiliser Price","1988 March","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1988 March","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1988 March","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1988 March","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1988 April","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","137"
"Fertiliser Price","1988 April","Urea (46% N)","Euro per Tonne","165"
"Fertiliser Price","1988 April","Granular Superphosphate (16% P)","Euro per Tonne","235"
"Fertiliser Price","1988 April","Muriate of Potash (50% K)","Euro per Tonne","171"
"Fertiliser Price","1988 April","Compound 0-10-20","Euro per Tonne","159"
"Fertiliser Price","1988 April","Compound 0-7-30","Euro per Tonne","157"
"Fertiliser Price","1988 April","Compound 7-6-17","Euro per Tonne","222"
"Fertiliser Price","1988 April","Compound 10-10-20","Euro per Tonne","195"
"Fertiliser Price","1988 April","Compound 14-7-14","Euro per Tonne","186"
"Fertiliser Price","1988 April","Compound 18-6-12","Euro per Tonne","181"
"Fertiliser Price","1988 April","Compound 24-2.5-10","Euro per Tonne","176"
"Fertiliser Price","1988 April","Compound 27-2.5-5","Euro per Tonne","173"
"Fertiliser Price","1988 April","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1988 April","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1988 April","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1988 April","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1988 May","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","137"
"Fertiliser Price","1988 May","Urea (46% N)","Euro per Tonne","166"
"Fertiliser Price","1988 May","Granular Superphosphate (16% P)","Euro per Tonne","236"
"Fertiliser Price","1988 May","Muriate of Potash (50% K)","Euro per Tonne","170"
"Fertiliser Price","1988 May","Compound 0-10-20","Euro per Tonne","159"
"Fertiliser Price","1988 May","Compound 0-7-30","Euro per Tonne","156"
"Fertiliser Price","1988 May","Compound 7-6-17","Euro per Tonne","224"
"Fertiliser Price","1988 May","Compound 10-10-20","Euro per Tonne","193"
"Fertiliser Price","1988 May","Compound 14-7-14","Euro per Tonne","186"
"Fertiliser Price","1988 May","Compound 18-6-12","Euro per Tonne","179"
"Fertiliser Price","1988 May","Compound 24-2.5-10","Euro per Tonne","174"
"Fertiliser Price","1988 May","Compound 27-2.5-5","Euro per Tonne","171"
"Fertiliser Price","1988 May","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1988 May","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1988 May","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1988 May","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1988 May","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1988 May","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1988 May","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1988 May","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1988 May","Compound 24-2.2-10","Euro per Tonne",""
